ID,Latitude,Longitude,Class_id,Notes,Class,DMS,UTM,MGRS,Photo,Comments
7,49.77114148,9.956932109,1,DI,Build-up,49° 46' 16.11'' N | 9° 57' 24.96'' E,568905.0E 5513625.0N 32U,32UNA 68905 13625,7,
23,49.77196804,9.954865162,1,DI,Build-up,49° 46' 19.08'' N | 9° 57' 17.51'' E,568755.0E 5513715.0N 32U,32UNA 68755 13715,23,
26,49.77132827,9.966935127,4,DI,Vineyards,49° 46' 16.78'' N | 9° 58' 0.97'' E,569625.0E 5513655.0N 32U,32UNA 69625 13655,26,No access to the point. Private area.
27,49.77088887,9.954843959,4,DI,Vineyards,49° 46' 15.2'' N | 9° 57' 17.44'' E,568755.0E 5513595.0N 32U,32UNA 68755 13595,27,
35,49.77142502,9.955271133,1,DI,Build-up,49° 46' 17.13'' N | 9° 57' 18.98'' E,568785.0E 5513655.0N 32U,32UNA 68785 13655,35,
73,49.77159806,9.966940494,4,DI,Vineyards,49° 46' 17.75'' N | 9° 58' 0.99'' E,569625.0E 5513685.0N 32U,32UNA 69625 13685,73,No access to the point. Private area.
78,49.76943623,9.967314108,5,DI,Agriculture,49° 46' 9.97'' N | 9° 58' 2.33'' E,569655.0E 5513445.0N 32U,32UNA 69655 13445,78,
79,49.77249389,9.95654209,1,DI,Build-up,49° 46' 20.98'' N | 9° 57' 23.55'' E,568875.0E 5513775.0N 32U,32UNA 68875 13775,79,
81,49.77129343,9.971100823,5,DI,Agriculture,49° 46' 16.66'' N | 9° 58' 15.96'' E,569925.0E 5513655.0N 32U,32UNA 69925 13655,81,
89,49.77132131,9.967768267,5,DI,Agriculture,49° 46' 16.76'' N | 9° 58' 3.97'' E,569685.0E 5513655.0N 32U,32UNA 69685 13655,89,No access to the point. Private area.
103,49.76751282,9.971441895,4,DI,Vineyards,49° 46' 3.05'' N | 9° 58' 17.19'' E,569955.0E 5513235.0N 32U,32UNA 69955 13235,103,
105,49.76978562,9.957738665,4,DI,Vineyards,49° 46' 11.23'' N | 9° 57' 27.86'' E,568965.0E 5513475.0N 32U,32UNA 68965 13475,105,
107,49.77466942,9.954501575,1,DI,Build-up,49° 46' 28.81'' N | 9° 57' 16.21'' E,568725.0E 5514015.0N 32U,32UNA 68725 14015,107,
165,49.771107,9.961097802,4,DI,Vineyards,49° 46' 15.99'' N | 9° 57' 39.95'' E,569205.0E 5513625.0N 32U,32UNA 69205 13625,165,
175,49.77169482,9.955276436,1,DI,Build-up,49° 46' 18.1'' N | 9° 57' 19.0'' E,568785.0E 5513685.0N 32U,32UNA 68785 13685,175,
178,49.7741161,9.956157358,1,DI,Build-up,49° 46' 26.82'' N | 9° 57' 22.17'' E,568845.0E 5513955.0N 32U,32UNA 68845 13955,178,
180,49.77162582,9.963607913,2,DI,Trees,49° 46' 17.85'' N | 9° 57' 48.99'' E,569385.0E 5513685.0N 32U,32UNA 69385 13685,180,
189,49.77085791,9.958593066,2,DI,Trees,49° 46' 15.09'' N | 9° 57' 30.94'' E,569025.0E 5513595.0N 32U,32UNA 69025 13595,189,
197,49.77357994,9.955730151,1,DI,Build-up,49° 46' 24.89'' N | 9° 57' 20.63'' E,568815.0E 5513895.0N 32U,32UNA 68815 13895,197,
198,49.76858851,9.97188001,4,DI,Vineyards,49° 46' 6.92'' N | 9° 58' 18.77'' E,569985.0E 5513355.0N 32U,32UNA 69985 13355,198,
