ID,Latitude,Longitude,ClassID,Class,Name,Notes
19,49.7719832284472,9.98528053993022,5,Agriculture,Luisa,
31,49.7677089449899,9.98019459094943,5,Agriculture,Luisa,
40,49.7698672881231,9.98023811936311,5,Agriculture,Luisa,
55,49.7671939897746,9.97726797808197,5,Agriculture,Luisa,
60,49.767964629903,9.98186618997697,5,Agriculture,Luisa,
70,49.7715177042961,9.97652163779468,5,Agriculture,Luisa,
72,49.7739212257431,9.97948656796499,3,Grassland,Luisa,mixed pixel with trees?
87,49.7688302982016,9.97521778863565,4,Vineyards,Luisa,
104,49.7690225932289,9.98438728123318,5,Agriculture,Luisa,
126,49.7728526129147,9.97821507179879,1,Built-up,Luisa,Landfill
142,49.7726214174694,9.97362726237904,2,Trees,Luisa,mixed pixel: built-up/agriculture/trees
143,49.7728138339303,9.98279746605276,5,Agriculture,Luisa,maybe mixed pixel with road?
145,49.7723341025656,9.97570474630038,2,Trees,Luisa,maybe mixed pixel with road/agriculture
152,49.7739353007717,9.97782020431417,3,Grassland,Luisa,maybe mixed pixel with road
155,49.7736408611312,9.98073089495956,5,Agriculture,Luisa,
158,49.7687634111946,9.98313217913294,5,Agriculture,Luisa,
173,49.7703892334962,9.98233180392109,5,Agriculture,Luisa,
177,49.7734202882367,9.9748932398252,2,Trees,Luisa,
194,49.7722954231483,9.98028709510771,5,Agriculture,Luisa,
199,49.7707188509244,9.97525568384882,5,Agriculture,Luisa,
