ID,latitude,longitude,ClassID,Class,Surveyor,Notes
2,49.7633993,9.979274549,4,Vineyards,Nils,
3,49.76388945,9.985116484,4,Vineyards,Nils,
11,49.76185414,9.970495702,2,Water,Nils,
13,49.76582744,9.979323465,5,Agriculture,Nils,
33,49.76644761,9.969754216,4,Vineyards,Nils,
34,49.76509515,9.970143821,5,Agriculture,Nils,No acess.
36,49.76584502,9.977240857,5,Agriculture,Nils,
44,49.76371123,9.974281943,4,Vineyards,Nils,
45,49.76214136,9.968418633,2,Water,Nils,
48,49.76588707,9.97224259,4,Vineyards,Nils,
50,49.76255111,9.98383967,4,Vineyards,Nils,
67,49.76178758,9.978408968,4,Vineyards,Nils,
82,49.76741091,9.983521428,5,Agriculture,Nils,
86,49.76368668,9.977197468,4,Vineyards,Nils,
96,49.76233771,9.977170352,4,Vineyards,Nils,
113,49.76395998,9.976786386,4,Vineyards,Nils,
130,49.76557523,9.977235433,5,Agriculture,Nils,
139,49.76373222,9.971782918,4,Vineyards,Nils,
163,49.76634234,9.982250017,5,Agriculture,Nils,old vineyard
166,49.76580276,9.982239113,5,Agriculture,Nils,
