"Name,""Latitude"",""Longitude"",""ID"",""DMS"",""UTM"",""MGRS"",""CRS"",""Elevation(MSL)"",""Address"",""Date Record"",""GPS Accuracy(m)"",""Photo"""
"JA,""49.7820571663737"",""9.9746498171347"",""1"",""49° 46' 55.41'' N | 9° 58' 28.74'' E"",""570165.0E 5514855.0N 32U"",""32UNA 70165 14855"",""9.975 49.782"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_191131_464059245.jpg"""
"JA,""49.7809604534412"",""9.97671142526341"",""1"",""49° 46' 51.46'' N | 9° 58' 36.16'' E"",""570315.0E 5514735.0N 32U"",""32UNA 70315 14735"",""9.977 49.781"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_190449_219780728.jpg"""
"JA,""49.7817838681539"",""9.97506106323426"",""1"",""49° 46' 54.42'' N | 9° 58' 30.22'' E"",""570195.0E 5514825.0N 32U"",""32UNA 70195 14825"",""9.975 49.782"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_191015_2017610812.jpg"""
"JA,""49.7836969253558"",""9.97218224338778"",""1"",""49° 47' 1.31'' N | 9° 58' 19.86'' E"",""569985.0E 5515035.0N 32U"",""32UNA 69985 15035"",""9.972 49.784"",""null"",""null"",""null"",""null"",""null"""
"JA,""49.7823164379071"",""9.9759052197571"",""1"",""49° 46' 56.34'' N | 9° 58' 33.26'' E"",""570255.0E 5514885.0N 32U"",""32UNA 70255 14885"",""9.976 49.782"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_190618_1844714012.jpg"""
"JA,""49.7823689089805"",""9.96965526297421"",""3"",""49° 46' 56.53'' N | 9° 58' 10.76'' E"",""569805.0E 5514885.0N 32U"",""32UNA 69805 14885"",""9.97 49.782"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_192008_-951123897.jpg"""
"JA,""49.7818013806491"",""9.97297776865887"",""1"",""49° 46' 54.48'' N | 9° 58' 22.72'' E"",""570045.0E 5514825.0N 32U"",""32UNA 70045 14825"",""9.973 49.782"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_191301_-448729749.jpg"""
"JA,""49.7827749112923"",""9.9854993970423"",""1"",""49° 46' 57.99'' N | 9° 59' 7.8'' E"",""570945.0E 5514945.0N 32U"",""32UNA 70945 14945"",""9.985 49.783"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_185714_1825816338.jpg"""
"JA,""49.7814930112226"",""9.97755558526696"",""1"",""49° 46' 53.37'' N | 9° 58' 39.2'' E"",""570375.0E 5514795.0N 32U"",""32UNA 70375 14795"",""9.978 49.781"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_190345_825131749.jpg"""
"JA,""49.7831922239909"",""9.96800473240167"",""3"",""49° 46' 59.49'' N | 9° 58' 4.82'' E"",""569685.0E 5514975.0N 32U"",""32UNA 69685 14975"",""9.968 49.783"",""null"",""null"",""null"",""null"",""/storage/emulated/0/Android/data/info.yogantara.utmgeomap/files/Pictures/JPEG_20200705_192506_-521338061.jpg"""
