ID,Latitude,Longitude,ClassID,Class,Name,Notes
153,49.77929238,9.982511801,1,Built-Up,Marius,
154,49.77252281,9.98529148,5,Agriculture,Marius,
64,49.77904376,9.980006539,1,Built-Up,Marius,mix built-up / grassland
15,49.7784724,9.983745322,1,Built-Up,Marius,
179,49.77685719,9.983295933,1,Built-Up,Marius,
32,49.77469885,9.983252258,5,Agriculture,Marius,
144,49.77902259,9.982506345,1,Built-Up,Marius,
5,49.77687484,9.981212855,3,Grassland,Marius,
90,49.77822381,9.981240097,1,Built-Up,Marius,mix built-up/grassland
28,49.77958687,9.979600784,1,Built-Up,Marius,
59,49.77961149,9.976684307,1,Built-Up,Marius,
171,49.77932412,9.97876207,1,Built-Up,Marius,mix built-up / trees
195,49.7774109,9.981640372,1,Built-Up,Marius,mix built-up/grassland
138,49.7807047,9.975039404,3,Grassland,Marius,
167,49.7801581,9.975861865,2,Trees,Marius,
133,49.77712698,9.983301393,1,Built-Up,Marius,
16,49.77711636,9.984551246,3,Grassland,Marius,mix grassland/trees
135,49.77606547,9.981196511,5,Agriculture,Marius,
100,49.77524903,9.982013371,2,Trees,Marius,
101,49.77467761,9.985751838,5,Agriculture,Marius,mix Agriculture/trees
